N,Movs By SW,nlogn,n*n
1,0,0,1
2,1.99,2,4
3,4.983333333,4.754887502,9
4,7.98,8,16
5,11.976,11.60964047,25
6,15.97333333,15.509775,36
7,19.97142857,19.65148445,49
8,23.97,24,64
9,28.96777778,28.52932501,81
10,33.966,33.21928095,100
11,38.96454545,38.05374781,121
12,43.96333333,43.01955001,144
13,48.96230769,48.10571634,169
14,53.96142857,53.30296891,196
15,58.96066667,58.60335893,225
16,63.96,64,256
17,69.95882353,69.4868683,289
18,75.95777778,75.05865003,324
19,81.95684211,80.71062276,361
20,87.956,86.4385619,400
21,93.9552381,92.23866588,441
22,99.95454545,98.10749561,484
23,105.953913,104.041925,529
24,111.9533333,110.0391,576
25,117.9528,116.0964047,625
26,123.9523077,122.2114327,676
27,129.9518519,128.3819626,729
28,135.9514286,134.6059378,784
29,141.9510345,140.8814489,841
30,147.9506667,147.2067179,900
31,153.9503226,153.5800856,961
32,159.95,160,1024
33,166.9493939,166.4650059,1089
34,173.9488235,172.9737366,1156
35,180.9482857,179.5249056,1225
36,187.9477778,186.1173001,1296
37,194.9472973,192.7497745,1369
38,201.9468421,199.4212455,1444
39,208.9464103,206.1306865,1521
40,215.946,212.8771238,1600
41,222.9456098,219.6596322,1681
42,229.9452381,226.4773318,1764
43,236.9448837,233.3293845,1849
44,243.9445455,240.2149912,1936
45,250.9442222,247.1333893,2025
46,257.943913,254.08385,2116
47,264.943617,261.065676,2209
48,271.9433333,268.0782,2304
49,278.9430612,275.1207824,2401
50,285.9428,282.1928095,2500
51,292.942549,289.2936924,2601
52,299.9423077,296.4228653,2704
53,306.9420755,303.5797841,2809
54,313.9418519,310.7639251,2916
55,320.9416364,317.9747842,3025
56,327.9414286,325.2118756,3136
57,334.9412281,332.4747308,3249
58,341.9410345,339.7628977,3364
59,348.9408475,347.0759399,3481
60,355.9406667,354.4134357,3600
61,362.9404918,361.7749776,3721
62,369.9403226,369.1601712,3844
63,376.9401587,376.5686352,3969
64,383.94,384,4096
65,391.9396923,391.4539078,4225
66,399.9393939,398.9300119,4356
67,407.9391045,406.4279758,4489
68,415.9388235,413.9474732,4624
69,423.9385507,421.4881875,4761
70,431.9382857,429.0498112,4900
71,439.9380282,436.6320455,5041
72,447.9377778,444.2346001,5184
73,455.9375342,451.8571928,5329
74,463.9372973,459.4995491,5476
75,471.9370667,467.1614018,5625
76,479.9368421,474.842491,5776
77,487.9366234,482.5425636,5929
78,495.9364103,490.2613731,6084
79,503.9362025,497.9986791,6241
80,511.936,505.7542476,6400
81,519.9358025,513.5278502,6561
82,527.9356098,521.3192644,6724
83,535.9354217,529.1282728,6889
84,543.9352381,536.9546635,7056
85,551.9350588,544.7982296,7225
86,559.9348837,552.6587689,7396
87,567.9347126,560.5360841,7569
88,575.9345455,568.4299824,7744
89,583.934382,576.3402754,7921
90,591.9342222,584.2667787,8100
91,599.9340659,592.2093123,8281
92,607.933913,600.1677,8464
93,615.9337634,608.1417694,8649
94,623.933617,616.1313521,8836
95,631.9334737,624.1362828,9025
96,639.9333333,632.1564001,9216
97,647.9331959,640.1915457,9409
98,655.9330612,648.2415647,9604
99,663.9329293,656.3063054,9801
100,671.9328,664.385619,10000
101,679.9326733,672.4793598,10201
102,687.932549,680.5873849,10404
103,695.9324272,688.7095543,10609
104,703.9323077,696.8457307,10816
105,711.9321905,704.9957794,11025
106,719.9320755,713.1595682,11236
107,727.9319626,721.3369675,11449
108,735.9318519,729.5278502,11664
109,743.9317431,737.7320914,11881
110,751.9316364,745.9495685,12100
111,759.9315315,754.1801612,12321
112,767.9314286,762.4237513,12544
113,775.9313274,770.6802228,12769
114,783.9312281,778.9494616,12996
115,791.9311304,787.2313559,13225
116,799.9310345,795.5257954,13456
117,807.9309402,803.8326722,13689
118,815.9308475,812.1518798,13924
119,823.9307563,820.4833138,14161
120,831.9306667,828.8268715,14400
121,839.9305785,837.1824517,14641
122,847.9304918,845.5499552,14884
123,855.9304065,853.9292842,15129
124,863.9303226,862.3203425,15376
125,871.93024,870.7230356,15625
126,879.9301587,879.1372704,15876
127,887.9300787,887.5629552,16129
128,895.93,896,16384
129,904.929845,904.4483159,16641
130,913.9296923,912.9078157,16900
131,922.929542,921.3784132,17161
132,931.9293939,929.8600238,17424
133,940.9292481,938.3525639,17689
134,949.9291045,946.8559515,17956
135,958.928963,955.3701056,18225
136,967.9288235,963.8949464,18496
137,976.9286861,972.4303954,18769
138,985.9285507,980.976375,19044
139,994.9284173,989.5328091,19321
140,1003.928286,998.0996224,19600
141,1012.928156,1006.676741,19881
142,1021.928028,1015.264091,20164
143,1030.927902,1023.861601,20449
144,1039.927778,1032.4692,20736
145,1048.927655,1041.086818,21025
146,1057.927534,1049.714386,21316
147,1066.927415,1058.351835,21609
148,1075.927297,1066.999098,21904
149,1084.927181,1075.65611,22201
150,1093.927067,1084.322804,22500
151,1102.926954,1092.999116,22801
152,1111.926842,1101.684982,23104
153,1120.926732,1110.38034,23409
154,1129.926623,1119.085127,23716
155,1138.926516,1127.799283,24025
156,1147.92641,1136.522746,24336
157,1156.926306,1145.255458,24649
158,1165.926203,1153.997358,24964
159,1174.926101,1162.74839,25281
160,1183.926,1171.508495,25600
161,1192.925901,1180.277617,25921
162,1201.925802,1189.0557,26244
163,1210.925706,1197.842689,26569
164,1219.92561,1206.638529,26896
165,1228.925515,1215.443165,27225
166,1237.925422,1224.256546,27556
167,1246.925329,1233.078617,27889
168,1255.925238,1241.909327,28224
169,1264.925148,1250.748625,28561
170,1273.925059,1259.596459,28900
171,1282.924971,1268.45278,29241
172,1291.924884,1277.317538,29584
173,1300.924798,1286.190683,29929
174,1309.924713,1295.072168,30276
175,1318.924629,1303.961945,30625
176,1327.924545,1312.859965,30976
177,1336.924463,1321.766182,31329
178,1345.924382,1330.680551,31684
179,1354.924302,1339.603024,32041
180,1363.924222,1348.533557,32400
181,1372.924144,1357.472106,32761
182,1381.924066,1366.418625,33124
183,1390.923989,1375.37307,33489
184,1399.923913,1384.3354,33856
185,1408.923838,1393.30557,34225
186,1417.923763,1402.283539,34596
187,1426.92369,1411.269264,34969
188,1435.923617,1420.262704,35344
189,1444.923545,1429.263818,35721
190,1453.923474,1438.272566,36100
191,1462.923403,1447.288906,36481
192,1471.923333,1456.3128,36864
193,1480.923264,1465.344208,37249
194,1489.923196,1474.383091,37636
195,1498.923128,1483.429411,38025
196,1507.923061,1492.483129,38416
197,1516.922995,1501.544208,38809
198,1525.922929,1510.612611,39204
199,1534.922864,1519.688299,39601
